time_step,base_x,base_y,base_z,base_vx,base_vy,base_vz,base_wx,base_wy,base_wz,pos_R_hip_joint,pos_R_hip2_joint,pos_R_thigh_joint,pos_R_calf_joint,pos_R_toe_joint,pos_L_hip_joint,pos_L_hip2_joint,pos_L_thigh_joint,pos_L_calf_joint,pos_L_toe_joint,vel_R_hip_joint,vel_R_hip2_joint,vel_R_thigh_joint,vel_R_calf_joint,vel_R_toe_joint,vel_L_hip_joint,vel_L_hip2_joint,vel_L_thigh_joint,vel_L_calf_joint,vel_L_toe_joint,torque_R_hip_joint,torque_R_hip2_joint,torque_R_thigh_joint,torque_R_calf_joint,torque_R_toe_joint,torque_L_hip_joint,torque_L_hip2_joint,torque_L_thigh_joint,torque_L_calf_joint,torque_L_toe_joint
0.01,-0.0036416728980839252,-0.0046391235664486885,0.8998798727989197,-0.19477979838848114,-0.5405112504959106,-0.08524756133556366,-0.2217429131269455,0.2747326195240021,0.28697600960731506,0.029028840363025665,0.08126736432313919,-0.05662505328655243,-0.0715828463435173,-0.3820232152938843,-0.19816052913665771,0.4220631718635559,0.4028250277042389,-0.019471950829029083,-0.09777818620204926,-0.45101818442344666,-1.9897587299346924,0.6309539079666138,0.8965499997138977,0.05321171134710312,0.7264562249183655,-0.7069061398506165,-3.45530366897583,-2.1812901496887207,11.446467399597168,0.4922213554382324,0.3128318786621094,0.9027183055877686,13.642436027526855,-0.9804462194442749,-6.120131969451904,1.4585771560668945,-5.941356658935547,-20.15999984741211,20.15999984741211
0.02,-0.00731603242456913,-0.009435075335204601,0.8988240957260132,-0.17315253615379333,-0.5334623456001282,-0.18393276631832123,-0.5550237894058228,0.44283440709114075,0.29486146569252014,0.023058250546455383,0.05587845295667648,-0.04775811731815338,-0.058329347521066666,-0.3826937675476074,-0.18795686960220337,0.41094356775283813,0.3575262129306793,0.05235884338617325,-0.06333772838115692,-0.5641419887542725,-2.66567325592041,1.082552194595337,1.6652212142944336,-0.2871360778808594,1.1277507543563843,-0.473889023065567,-5.5756096839904785,-2.4291234016418457,12.940425872802734,0.21994256973266602,1.9518241882324219,-1.305565357208252,15.412420272827148,-0.8961506485939026,-6.085309982299805,2.4045143127441406,-5.66270637512207,-20.15999984741211,20.15999984741211
0.03,-0.01101148035377264,-0.01431292574852705,0.8967604041099548,-0.15172185003757477,-0.5263281464576721,-0.28950628638267517,-0.707455039024353,0.5633708238601685,0.2796725928783417,0.017381325364112854,0.029881862923502922,-0.036465153098106384,-0.03966232016682625,-0.3867584466934204,-0.17394691705703735,0.4041599631309509,0.2959792912006378,0.11890655755996704,-0.05878493934869766,-0.4992038607597351,-2.468581199645996,1.1983435153961182,2.064148187637329,-0.6177820563316345,1.5629148483276367,0.09293044358491898,-7.17365026473999,-3.2753329277038574,10.30447769165039,-0.7750692367553711,2.1657848358154297,-4.3341875076293945,11.177268028259277,0.23462128639221191,-5.184017181396484,3.4481446743011475,-5.117609024047852,-20.15999984741211,20.15999984741211
0.04,-0.014701367355883121,-0.01917056366801262,0.8936545848846436,-0.13138702511787415,-0.5208103060722351,-0.39856404066085815,-0.6172426342964172,0.6323680281639099,0.2658865749835968,0.01292448490858078,0.010374007746577263,-0.026394033804535866,-0.020059768110513687,-0.3942556381225586,-0.15686804056167603,0.40519803762435913,0.22183199226856232,0.17329657077789307,-0.04179738461971283,-0.38999730348587036,-1.664836049079895,0.9134255647659302,1.9451266527175903,-0.9357982873916626,1.8514524698257446,0.9925561547279358,-8.255749702453613,-4.8311238288879395,11.407187461853027,-2.11700177192688,1.3783626556396484,-7.471866607666016,3.4158754348754883,2.2002923488616943,-4.440704822540283,4.74006986618042,-4.800544738769531,-20.15999984741211,20.15999984741211
0.05,-0.018370769917964935,-0.023920834064483643,0.8895092010498047,-0.1180495098233223,-0.5320038795471191,-0.48626962304115295,-0.20580533146858215,0.7083098292350769,0.35981494188308716,0.011522081680595875,0.0006822036230005324,-0.020626408979296684,-0.004772841930389404,-0.4049784243106842,-0.1384202092885971,0.41579025983810425,0.14205045998096466,0.1939074695110321,-0.06520044058561325,0.3562602698802948,-0.6949702501296997,0.6494768857955933,1.2356011867523193,-1.1870946884155273,1.947913408279419,0.8529033660888672,-8.866219520568848,-3.7812769412994385,7.627468109130859,-5.867312908172607,0.3332977294921875,-11.494195938110352,-4.566573143005371,6.178944110870361,-5.37188720703125,4.276174068450928,-5.346214294433594,20.15999984741211,20.15999984741211
0.06,-0.022154442965984344,-0.028526341542601585,0.8847436904907227,-0.11943046748638153,-0.5580508708953857,-0.5414104461669922,0.5355921983718872,0.8104208707809448,0.5800157785415649,0.011526297777891159,0.0030061251018196344,-0.01793273538351059,-0.0002657140139490366,-0.42438673973083496,-0.12131848186254501,0.43344417214393616,0.0573226697742939,0.1599406898021698,-0.07233522087335587,-0.33944469690322876,0.6127870678901672,-0.021234847605228424,-0.09492224454879761,-2.3300609588623047,1.7779558897018433,2.2645411491394043,-9.237936019897461,-3.0961050987243652,9.542296409606934,-3.2978169918060303,-0.8545410633087158,-13.206171035766602,-10.551011085510254,12.923369407653809,-6.367785930633545,8.844797134399414,-5.725696563720703,20.15999984741211,20.15999984741211
0.07,-0.026115594431757927,-0.0328776091337204,0.8794037103652954,-0.14412479102611542,-0.5842305421829224,-0.604853630065918,1.285268783569336,0.8296152353286743,0.5684165358543396,0.009432273916900158,0.017751630395650864,-0.024100840091705322,-0.009659329429268837,-0.45338889956474304,-0.11591518670320511,0.4649547338485718,-3.693659067494082e-08,0.13694049417972565,-0.1066267341375351,-0.1680864542722702,1.94557523727417,-0.9891248941421509,-1.5157946348190308,-3.174595832824707,-1.5476750135421753,3.5308330059051514,-0.00043666327837854624,-1.7554141283035278,0.37557825446128845,-3.8469972610473633,-3.7426257133483887,-12.84575366973877,-11.849896430969238,21.35302734375,4.211885452270508,13.089599609375,-43.351009368896484,15.730985641479492,20.15999984741211
0.08,-0.030228575691580772,-0.03699645400047302,0.8733546733856201,-0.16397491097450256,-0.6054722666740417,-0.6775950789451599,1.7920085191726685,0.2676793336868286,0.7164634466171265,0.007709633093327284,0.04062987491488457,-0.03801468014717102,-0.030722547322511673,-0.4855489730834961,-0.12593068182468414,0.5081349611282349,-9.403286149733958e-09,0.12020030617713928,-0.18846501410007477,-0.16927412152290344,2.4233782291412354,-1.6596204042434692,-2.493974208831787,-3.153208017349243,-0.742406964302063,4.613673210144043,4.440612974576652e-05,-1.192765235900879,0.42649492621421814,-5.257401943206787,-2.003981590270996,-13.598587989807129,-9.374629974365234,22.53804588317871,-3.236396312713623,16.559310913085938,-42.21588897705078,7.984499931335449,20.15999984741211
0.09,-0.03432350233197212,-0.041072409600019455,0.8668095469474792,-0.18644188344478607,-0.612883985042572,-0.6724141836166382,1.6711666584014893,-0.23704610764980316,0.5470324158668518,0.006338370032608509,0.05827042832970619,-0.05526619777083397,-0.04952749237418175,-0.5174394249916077,-0.13406866788864136,0.571029543876648,-6.523198680952191e-05,0.08886390179395676,-0.11235060542821884,-0.05107320472598076,0.6786479353904724,-1.6841506958007812,-1.3959057331085205,-2.9340367317199707,-0.8286848068237305,7.409012794494629,0.18258008360862732,-13.760723114013672,15.78647232055664,-6.644758224487305,3.5230536460876465,-16.553524017333984,-14.01370620727539,23.390655517578125,-6.226398468017578,15.629377365112305,-41.71286392211914,-20.15999984741211,-20.15999984741211
0.1,-0.03812144696712494,-0.04508502036333084,0.86136394739151,-0.22535459697246552,-0.48436978459358215,-0.3262515068054199,0.2562096118927002,-0.6124926209449768,-0.048798393458127975,0.007154399529099464,0.05806630849838257,-0.06889598816633224,-0.05811597406864166,-0.5407135486602783,-0.13730253279209137,0.6431520581245422,8.765912753005978e-06,0.051197201013565063,0.01115266140550375,0.31751009821891785,0.16073158383369446,-0.25817108154296875,0.3385322690010071,-1.8266651630401611,-0.019247423857450485,7.561269760131836,0.09371732175350189,-12.999110221862793,6.231282711029053,-9.29084300994873,8.071150779724121,-25.844501495361328,-16.015869140625,24.057987213134766,-16.827913284301758,16.74506378173828,-42.77885437011719,-20.15999984741211,-20.15999984741211
0.11,-0.041321832686662674,-0.04868234321475029,0.8601236939430237,-0.23996402323246002,-0.35832515358924866,-0.017536908388137817,-0.7786741852760315,-0.628415048122406,-0.3671855330467224,0.010197574272751808,0.061496801674366,-0.0670398622751236,-0.04804711788892746,-0.5556147694587708,-0.13501302897930145,0.7141934633255005,-1.534447437734343e-05,0.06844229251146317,0.03259376063942909,0.38250595331192017,0.43997788429260254,0.42350414395332336,1.4912196397781372,-1.2513877153396606,0.31400570273399353,7.717852592468262,0.0905473530292511,-8.521889686584473,-0.6294528841972351,-13.439095497131348,0.2913968563079834,-34.461524963378906,-17.533432006835938,24.76642608642578,-25.906810760498047,16.237953186035156,-42.508419036865234,-20.15999984741211,-20.15999984741211
0.12,-0.04408926144242287,-0.051901768893003464,0.8608192205429077,-0.22292813658714294,-0.3047921061515808,0.09727536886930466,-0.9145081043243408,-0.5174842476844788,-0.3312566876411438,0.010523349978029728,0.06560638546943665,-0.06542772054672241,-0.032776713371276855,-0.5646252036094666,-0.13113868236541748,0.7848504185676575,-1.8486207409296185e-05,0.07084512710571289,0.01219884492456913,-0.14282718300819397,0.4399612843990326,-0.05177788436412811,1.5781280994415283,-0.6664361953735352,0.343311071395874,7.364398956298828,0.08161406219005585,-9.287724494934082,-2.8848416805267334,-14.86931037902832,-5.055408477783203,-35.874759674072266,-13.997849464416504,25.18697166442871,-31.78006935119629,14.36981201171875,-39.42218017578125,-20.15999984741211,-20.15999984741211
