time,base_wx,base_wy,base_wz
0.0,-0.13642427325248718,0.11882931739091873,-0.08630502969026566
0.02,-0.1757417768239975,-0.27198249101638794,-0.07413241267204285
0.04,-0.24831068515777588,-0.787321150302887,-0.07395011186599731
0.06,0.2801220715045929,-1.4058747291564941,-0.13054071366786957
0.08,1.3166223764419556,-1.1992300748825073,0.15039397776126862
0.1,1.9591360092163086,-0.8807266354560852,0.2864401638507843
0.12,1.7054696083068848,-0.6369047164916992,0.2927611172199249
0.14,1.478981375694275,0.180952787399292,0.7772398591041565
0.16,0.3470793664455414,0.9171169400215149,0.41204482316970825
0.18,-0.47259730100631714,0.669264554977417,0.1430264562368393
0.2,-0.7181531190872192,0.2742469608783722,0.30398306250572205
0.22,-0.9188182353973389,-0.10318503528833389,0.40940549969673157
0.24,-0.7341082096099854,-0.3347630500793457,0.4863356947898865
0.26,-0.5276888608932495,-0.267957478761673,0.4473288655281067
0.28,-0.464901328086853,-0.3457908630371094,0.4085903465747833
0.3,-0.5750959515571594,-0.691519558429718,0.34072545170783997
0.32,-0.38723573088645935,-0.6032818555831909,0.7480568289756775
0.34,0.12268342822790146,-1.3662668466567993,0.029296977445483208
0.36,0.19412019848823547,-1.2318412065505981,0.01733788661658764
0.38,0.09465900808572769,-1.026006817817688,0.025607099756598473
0.4,-5.6031160056591034e-05,-0.8035117983818054,0.06726877391338348
0.42,-0.0688435360789299,-0.5627956986427307,0.0648522600531578
0.44,-0.17890925705432892,-0.29558679461479187,0.10982834547758102
0.46,-0.31741365790367126,-0.030599933117628098,0.14459094405174255
0.48,-0.41097384691238403,0.24632728099822998,0.1900467574596405
0.5,-0.4145096242427826,0.5744943618774414,0.1490323543548584
0.52,-0.3006073236465454,0.5760706067085266,0.07476825267076492
0.54,-0.1726408302783966,0.5892300605773926,0.08546132594347
0.56,0.03674010559916496,0.6357010006904602,0.05061055347323418
0.58,0.2383011430501938,0.62644362449646,-0.013044754974544048
0.6,0.35607945919036865,0.5469182729721069,-0.046593986451625824
0.62,0.37933826446533203,0.43967413902282715,-0.07714633643627167
0.64,0.35807740688323975,0.348369836807251,-0.10928855836391449
0.66,0.321882039308548,0.2962771952152252,-0.128243550658226
0.68,0.26754385232925415,0.2802755832672119,-0.1399330496788025
0.7000000000000001,0.19578224420547485,0.25761815905570984,-0.14440691471099854
0.72,0.059081804007291794,0.26403436064720154,-0.13308332860469818
0.74,-0.1592894047498703,0.26086536049842834,-0.1468985378742218
0.76,-0.6267303228378296,0.6211311221122742,-0.7790220975875854
0.78,-0.36585184931755066,-0.3284789025783539,-0.17787958681583405
0.8,-0.45548388361930847,-0.35028111934661865,-0.21852312982082367
0.8200000000000001,-0.5681441426277161,-0.18483102321624756,-0.32420191168785095
0.84,-0.6454362869262695,-0.0765095204114914,-0.2560693621635437
0.86,-0.5367759466171265,0.01854422129690647,-0.18273118138313293
0.88,-0.225441113114357,0.12653985619544983,-0.2041475623846054
0.9,-0.05618676543235779,0.17782261967658997,-0.2269452065229416
0.92,-0.14264759421348572,0.05804716795682907,-0.2906665503978729
0.9400000000000001,-0.09087061882019043,0.05552466958761215,-0.21694867312908173
0.96,-0.029328273609280586,0.08348113298416138,-0.11173146963119507
0.98,-0.001130542834289372,0.08238609880208969,-0.02477150782942772
1.0,0.032111410051584244,0.055631015449762344,0.042168065905570984
1.02,0.08755868673324585,0.06233414262533188,0.0923520028591156
1.04,0.1574220508337021,0.09336875379085541,0.12974369525909424
1.06,0.22839666903018951,0.09747657924890518,0.13922888040542603
1.08,0.2821942865848541,0.06578270345926285,0.12831364572048187
1.1,0.2893664836883545,-0.005353665444999933,0.10386453568935394
1.12,0.2258453220129013,-0.08540482819080353,0.09362267702817917
1.1400000000000001,0.18963927030563354,-0.192459374666214,0.08428101986646652
1.16,0.18277445435523987,-0.32117682695388794,0.05697547271847725
1.18,0.1272517442703247,-0.42081907391548157,0.04357930272817612
1.2,0.006976463831961155,-0.4916854500770569,0.058445826172828674
1.22,0.2944730222225189,-0.4178716242313385,0.33291929960250854
1.24,0.3854864239692688,-0.67713862657547,-0.07004186511039734
1.26,0.3864647448062897,-0.6395513415336609,-0.016632650047540665
1.28,0.052400652319192886,-0.5969982147216797,0.018898190930485725
1.3,-0.35134121775627136,-0.5036858320236206,0.20996375381946564
1.32,-0.2679104208946228,-0.23651058971881866,0.18175168335437775
1.34,-0.07778144627809525,-0.02159722149372101,0.2242615967988968
1.36,-0.06060099974274635,0.2809693515300751,0.27252933382987976
1.3800000000000001,-0.04786365479230881,0.479851633310318,0.257855087518692
1.4000000000000001,-0.028010664507746696,0.5537998080253601,0.23781348764896393
1.42,-0.008282982744276524,0.5593219995498657,0.21001951396465302
1.44,-0.012151201255619526,0.5227498412132263,0.17183226346969604
1.46,-0.05015460401773453,0.4682375192642212,0.1289789229631424
1.48,-0.10031678527593613,0.38614368438720703,0.09313388168811798
1.5,-0.13624396920204163,0.28037118911743164,0.0607784129679203
1.52,-0.14617030322551727,0.175898015499115,0.03751109540462494
1.54,-0.12043691426515579,0.08238604664802551,0.025419678539037704
1.56,-0.0792001485824585,-0.004236684646457434,0.02909993939101696
1.58,-0.04771402105689049,-0.06805439293384552,0.01879102550446987
1.6,-0.037934280931949615,-0.08563200384378433,-0.01307759340852499
1.62,-0.02874906361103058,-0.09285479784011841,-0.020795689895749092
1.6400000000000001,-0.06634905189275742,0.019132792949676514,-0.05539286509156227
1.6600000000000001,-0.33509424328804016,-0.12707538902759552,-0.21265022456645966
1.68,-0.1179312914609909,-0.40413621068000793,0.08139293640851974
1.7,0.024163128808140755,-0.3358958661556244,0.0035024182870984077
1.72,0.19553330540657043,-0.09293554723262787,0.07666170597076416
1.74,0.012370267882943153,-0.008528226055204868,-0.04884539917111397
1.76,0.061426129192113876,0.09289992600679398,-0.027793314307928085
1.78,0.06712011247873306,0.14723563194274902,0.013288418762385845
1.8,0.04340936988592148,0.17931614816188812,0.046590376645326614
1.82,0.05781001225113869,0.19143500924110413,0.08760041743516922
1.84,0.11991330236196518,0.21527761220932007,0.12233138829469681
1.86,0.20244449377059937,0.23851536214351654,0.13897636532783508
1.8800000000000001,0.2725938558578491,0.22750335931777954,0.1440352350473404
1.9000000000000001,0.30900895595550537,0.18005788326263428,0.136771559715271
1.92,0.29150643944740295,0.08367946743965149,0.11202794313430786
1.94,0.19860200583934784,-0.039130739867687225,0.09603244066238403
1.96,0.11073839664459229,-0.18238802254199982,0.08680375665426254
1.98,0.07394089549779892,-0.35798215866088867,0.05506787821650505
2.0,-0.008547516539692879,-0.5221513509750366,0.042205192148685455
2.02,-0.16307738423347473,-0.6536802053451538,0.07334733754396439
2.04,0.2902509272098541,-0.5987972617149353,0.3932402729988098
2.06,0.2896486818790436,-0.7227756977081299,-0.06917472928762436
2.08,0.09379539638757706,-0.6073004603385925,-0.0025386856868863106
2.1,-0.3401939868927002,-0.43769600987434387,0.1379355639219284
2.12,-0.23879612982273102,-0.1350483000278473,0.1427803635597229
2.14,-0.07213744521141052,0.02558734640479088,0.20255687832832336
2.16,-0.06843335926532745,0.3278545141220093,0.21076862514019012
2.18,-0.0614297054708004,0.5364442467689514,0.1785929948091507
2.2,-0.06710147112607956,0.5956549048423767,0.16465267539024353
2.22,-0.0671629011631012,0.5778570771217346,0.13328039646148682
2.24,-0.0868317037820816,0.5203022956848145,0.08375003933906555
2.2600000000000002,-0.1274721324443817,0.4478168785572052,0.035270366817712784
2.2800000000000002,-0.15777720510959625,0.3476335108280182,-0.004238736815750599
2.3000000000000003,-0.16854816675186157,0.23767082393169403,-0.03663713112473488
2.32,-0.15552547574043274,0.14439967274665833,-0.05238289013504982
2.34,-0.12511172890663147,0.06788346916437149,-0.058116454631090164
2.36,-0.10147370398044586,-0.0036986456252634525,-0.06602934747934341
2.38,-0.10416828095912933,-0.06220753863453865,-0.0651068314909935
2.4,-0.139140784740448,-0.09152009338140488,-0.07373461127281189
2.42,-0.18319717049598694,-0.04242214933037758,-0.1199212297797203
2.44,-0.45510122179985046,-0.17350339889526367,-0.4087281823158264
2.46,-0.22163134813308716,-0.4791015088558197,0.04074673727154732
2.48,-0.2119269222021103,-0.37539753317832947,-0.08975540101528168
2.5,0.06310238689184189,-0.10030170530080795,0.02112457901239395
2.52,0.09842398017644882,0.05514416843652725,-0.11295317858457565
2.54,-0.009563742205500603,0.12120525538921356,-0.13638363778591156
2.56,0.03489532321691513,0.1835198700428009,-0.08226791769266129
2.58,0.05118013545870781,0.19540895521640778,-0.013371962122619152
2.6,0.08249451965093613,0.17576317489147186,0.04456114396452904
2.62,0.1484890729188919,0.16818228363990784,0.10215957462787628
2.64,0.23328429460525513,0.18932296335697174,0.13575872778892517
2.66,0.3149179220199585,0.19125248491764069,0.15109358727931976
2.68,0.36208298802375793,0.16281120479106903,0.14694471657276154
2.7,0.3665291368961334,0.09038670361042023,0.1308354288339615
2.72,0.2992970645427704,-0.01665826514363289,0.11050523072481155
2.74,0.2003832906484604,-0.1430967003107071,0.11274750530719757
2.7600000000000002,0.1694658398628235,-0.29804331064224243,0.0907084047794342
2.7800000000000002,0.12407146394252777,-0.45318812131881714,0.05912940576672554
2.8000000000000003,0.00699875270947814,-0.5722581744194031,0.06699402630329132
2.82,-0.14310511946678162,-0.6605802178382874,0.11297652125358582
2.84,0.46975061297416687,-0.7441813945770264,0.31085339188575745
2.86,0.4218939244747162,-0.718616783618927,-0.021835947409272194
2.88,0.004953443072736263,-0.5915037989616394,0.0271260067820549
2.9,-0.3879989981651306,-0.4471326470375061,0.17803563177585602
2.92,-0.23834773898124695,-0.16463994979858398,0.17430941760540009
2.94,-0.0708761140704155,0.004868399351835251,0.23186202347278595
2.96,-0.05991806834936142,0.29229679703712463,0.25045499205589294
2.98,-0.052474312484264374,0.4723011553287506,0.2322145700454712
3.0,-0.040666304528713226,0.5401697158813477,0.21189682185649872
3.02,-0.03025614283978939,0.5406655669212341,0.1793089658021927
3.04,-0.032819509506225586,0.5038794875144958,0.13760198652744293
3.06,-0.2193077951669693,0.4399632513523102,0.1657286286354065
3.08,-0.18814411759376526,0.6138383150100708,0.10603144764900208
3.1,-0.2490280419588089,0.7478001117706299,0.16960865259170532
3.12,-0.2732487618923187,0.7027372717857361,0.11644197255373001
3.14,-0.2678365111351013,0.6225157976150513,0.10501597821712494
3.16,-0.22392939031124115,0.525906503200531,0.08887158334255219
3.18,-0.1815088838338852,0.4437869191169739,0.06442543864250183
3.2,-0.15235550701618195,0.3744111955165863,0.018340064212679863
3.22,-0.12545251846313477,0.32446736097335815,-0.045892760157585144
3.24,-0.0993804931640625,0.24118554592132568,-0.15560750663280487
3.2600000000000002,0.1040571928024292,0.17703908681869507,-0.14834177494049072
3.2800000000000002,0.26282578706741333,0.1079065278172493,-0.08474224805831909
3.3000000000000003,0.1790582537651062,-0.42978596687316895,-0.1803813874721527
3.3200000000000003,-0.14999301731586456,-1.0997304916381836,-0.20003940165042877
3.34,-0.9312119483947754,-1.7018173933029175,-0.2612839341163635
3.36,-0.18809911608695984,-1.5035020112991333,0.030379999428987503
3.38,0.10604877769947052,-0.946989119052887,-0.007058374583721161
3.4,-0.18244434893131256,-0.8923019170761108,-0.1455467790365219
3.42,-0.01904950477182865,-1.018792986869812,0.016474096104502678
3.44,0.42999643087387085,-0.876567542552948,0.02689165621995926
3.46,0.41164031624794006,-0.46280598640441895,0.0692751482129097
3.48,0.36773842573165894,-0.03022051230072975,0.05542100593447685
3.5,0.3653246760368347,0.3301421105861664,0.06535311043262482
3.52,0.3415640890598297,0.5116583108901978,0.10801337659358978
3.54,0.30331218242645264,0.5634479522705078,0.1628333181142807
3.56,0.2304324209690094,0.5815747976303101,0.2100742757320404
3.58,0.05573734641075134,0.5677891373634338,0.25851672887802124
3.6,-0.17464938759803772,0.38451093435287476,0.25895267724990845
3.62,-0.17801176011562347,0.004560228902846575,0.14331088960170746
